SG_UF_PROVA,NOTA_AVG,Num_Candidatos,NOTA_3ro_Quartil,Renda_Familiar_Per_Capita,Num_Populacao_2020,Indice_IDH_2017,Indice_Investimento_Educação_Per_Capita_2020,mortalidade_infantil_tmi_2019,Indice_Rendimento_Domiciliar_Per_Capita,PCT_Atendimento_Escolar_Basico,PCT_Atendimento_Escolar_Medio,PCT_Conclusao_Ensino_Medio_Ate_19_Anos,PCT_Professores_Educacao_Basica_Nivel_Superior,Indice_IDEB_Basico_Anos_Iniciais,Indice_IDEB_Basico_Anos_Finais,Indice_IDEB_Medio,Indice_Atend_Agua_SNIS_2019,Indice_Coleta_Esgoto_SNIS_2019,Indice_Esgoto_Tratado_Agua_Consumida_SNIS_2019,PCT_Esc_Pai_Baixa,PCT_Esc_Pai_Media,PCT_Esc_Pai_Alta,PCT_Esc_Pai_Indefinida,PCT_Esc_Mae_Baixa,PCT_Esc_Mae_Media,PCT_Esc_Mae_Alta,PCT_Esc_Mae_Indefinida,PCT_Comp_Casa_Sim,PCT_Internet_Casa_Sim,PCT_Matriculas_Edu_Basica_Escola_Pub,PCT_Estabelecimentos_Edu_Basica_Pub,Indice_Professores_Por_Aluno_Edu_Basica,Indice_Alunos_Por_Estabelecimento_Edu_Basica_Pub
SP,552.7571812447906,321532,616.8,1041.3854752933273,45919049,0.826,0.7555905611198525,11.0,1946,0.983,0.832,0.78,0.931,6.6,5.3,4.2,0.962,0.8062,0.6827,0.156335916798328,0.5643201920804151,0.21436435564733836,0.06497953547391862,0.12183546272221739,0.5876491297911249,0.27459786273216974,0.015917544754487888,0.7265186668823009,0.5181039523282286,0.7600564577268278,0.6241937117962919,0.04682088396869072,411.9641291998052
MG,550.62670128899,219319,618.04,806.0386220670176,21168791,0.787,0.41660385800965205,12.9,1358,0.989,0.782,0.68,0.898,6.5,4.7,3.9,0.8207,0.6678,0.4197,0.23041779326004586,0.5571336728691997,0.13877958589999043,0.07366894797076405,0.17265262015602845,0.578645716969346,0.22889033781842885,0.01981132505619668,0.6710818488138283,0.5248610471504976,0.8394125280548257,0.7517125420351227,0.051305162271219715,303.5172728025847
SC,547.3711627684964,41900,606.765,1098.6247646684474,7164788,0.808,0.497153579422029,9.6,1769,0.98,0.768,0.7,0.898,6.5,5.2,4.1,0.8954,0.3294,0.3115,0.1728162291169451,0.5727923627684964,0.193436754176611,0.060954653937947495,0.13844868735083532,0.5747971360381862,0.27200477326968975,0.014749403341288783,0.7497613365155131,0.5334606205250597,0.8304289336097574,0.8259057390189163,0.052460551796612104,259.5229037267081
PR,543.1129236185519,91462,600.1,1010.2398542697623,11433957,0.792,0.8148535104688605,10.3,1621,0.983,0.757,0.71,0.92,6.5,4.9,4.0,0.9466,0.7472,0.7462,0.17242133344995736,0.5629660405414271,0.19270298047276466,0.07190964553585096,0.1427587413351993,0.569930681594542,0.26764120618398896,0.01966937088626971,0.7194244604316546,0.5184994861253854,0.8229378846947151,0.770791714856482,0.053522404876814096,288.71941072159325
RJ,542.6375332554201,152306,606.5600000000001,905.8647522547715,17264943,0.796,0.31595818184861657,13.2,1882,0.974,0.727,0.66,0.729,5.8,4.7,3.9,0.9069,0.5808,0.3979,0.16343413916720287,0.5806599871311702,0.16837813349441255,0.08752774020721442,0.13312016598164222,0.630697411789424,0.2143907659580056,0.021791656270928262,0.6583128701430015,0.4920817302010426,0.6888882545753826,0.5806622516556291,0.04432676063275011,374.3438260340633
ES,539.2923674256657,39921,603.0,784.617783290914,4018650,0.772,0.32622895748572284,10.7,1477,0.975,0.651,0.58,0.973,6.0,4.7,4.4,0.8132,0.542,0.4252,0.21001477918889808,0.5680969915583277,0.13960071140502492,0.0822875178477493,0.16720523032990156,0.5899902307056436,0.22068585456276146,0.022118684401693345,0.6371834372886451,0.5004884647178177,0.8782548938225908,0.8858625162127107,0.0479232864533366,283.4802342606149
DF,538.69965820971,47456,602.905,1141.4225679238534,3015268,0.85,1.609475509307962,8.5,2686,0.981,0.744,0.79,0.96,6.3,4.9,4.1,0.99,0.8228,0.8228,0.19934254888739042,0.4734069453809845,0.23895819285232636,0.08829231287929871,0.15313132164531357,0.5337786581254215,0.2925446729602158,0.020545347269049226,0.6888486176668914,0.46651635198921104,0.7025000418016353,0.5335489086499596,0.045808512028990576,700.2318181818182
RS,538.2746566773196,95435,594.3399999999999,966.9965511118821,11377239,0.787,0.328374924707128,10.6,1843,0.983,0.692,0.62,0.861,5.8,4.6,3.7,0.8673,0.3003,0.2587,0.2001466967045633,0.5901398857861372,0.14247393513909992,0.06723948237019961,0.15822287420757583,0.6141247969822392,0.21197673809399067,0.015675590716194267,0.6879446743857075,0.5172840152983706,0.8081226504527476,0.731349286145184,0.05056999335316487,254.8935936211163
GO,528.1066763708271,72821,590.5799999999999,734.9345838836791,7018354,0.769,0.5021120336762722,14.5,1306,0.984,0.758,0.73,0.9,6.1,5.3,4.3,0.8852,0.6052,0.539,0.24311668337430137,0.5412449705442112,0.13329946032051193,0.08233888576097555,0.15864929072657613,0.5948696117878085,0.2246192719133217,0.021861825572293707,0.5692039384243556,0.46200958514714163,0.8076226549582067,0.7550226830848995,0.04323607133927597,334.5665236051502
RN,522.1288197339514,57809,580.8399999999999,572.4820705725664,3506853,0.731,0.3980777067074098,14.5,1057,0.986,0.619,0.51,0.863,5.0,3.8,3.2,0.8375,0.3372,0.335,0.3230811811309658,0.499472400491273,0.1046376861734332,0.07280873220432804,0.2281651645937484,0.5855143662751474,0.16833019080074038,0.017990278330363783,0.5035029147710565,0.40978048400768047,0.7911917950968025,0.8065997130559541,0.04179601089599444,230.9359658484525
CE,519.5742709853874,130162,582.46,437.5424128546605,9132078,0.735,0.3374916420994214,13.5,942,0.985,0.74,0.68,0.849,6.2,5.1,4.1,0.5862,0.3753,0.359,0.32415758823619795,0.49654276977919826,0.07971604615786482,0.099583595826739,0.24517140179161354,0.5699666569352039,0.1364991318510779,0.04836280942210476,0.37399548255251147,0.308630783177886,0.8065177609935351,0.7868067562175821,0.04507784196249819,294.71653144016227
MS,518.4471279210536,27259,573.46,785.9071349482984,2778986,0.766,0.5854653459931068,11.1,1514,0.981,0.674,0.49,0.949,5.7,4.8,3.8,0.8593,0.4478,0.4475,0.23973733445834403,0.5235335118676401,0.15888330459664698,0.07784584907736894,0.17616200154077552,0.5506438240581093,0.2537877398290473,0.019406434572067942,0.570013573498661,0.44733849370849993,0.8649332164891459,0.7587795048934945,0.047461579631470296,446.3186646433991
PE,518.270574555084,128395,576.54,505.575727812437,9557071,0.727,0.2927675226018515,13.0,970,0.977,0.682,0.68,0.758,5.2,4.4,4.1,0.8115,0.3156,0.3152,0.278351960746135,0.5408855485026676,0.09932629775302776,0.0814361929981697,0.20552981035087037,0.6026325012656256,0.1686124849098485,0.023225203473655517,0.4595116632267612,0.37894777834027804,0.7650464310861631,0.7240649258997883,0.039060610349751584,277.4543534762833
SE,516.0274624697337,37170,573.36,503.9394754350737,2298696,0.702,0.4620010649516073,17.7,980,0.974,0.466,0.5,0.876,4.9,3.9,3.7,0.8598,0.2766,0.2766,0.3563357546408394,0.47885391444713477,0.08186709712133441,0.08294323379069142,0.2826203927898843,0.549636803874092,0.1425881086898036,0.02515469464622007,0.3980898574118913,0.3317998385794996,0.778447146453123,0.7988560533841754,0.042742481562716206,252.42124105011933
PB,512.4646076176739,73487,567.01,457.35012006647827,4018127,0.722,0.5400526165549272,15.1,929,0.977,0.555,0.56,0.802,5.1,3.9,3.5,0.7504,0.422,0.4203,0.37814851606406574,0.4597820022589029,0.09473784478887422,0.06733163688815709,0.267584742879693,0.5531726699960537,0.15880359791527754,0.020438989208975737,0.44055411161157754,0.3670445112741029,0.7987350047329054,0.8085456039441249,0.048650967306863434,196.8033536585366
MT,511.96541646720914,33424,567.105,837.2485731457788,3484466,0.774,0.7702758471455884,15.4,1403,0.977,0.772,0.67,0.916,5.9,4.9,3.5,0.8691,0.5225,0.4465,0.23860100526567735,0.5263283867879368,0.1575514600287219,0.07751914791766396,0.1562948779320249,0.5416168022977501,0.2812051220679751,0.02088319770224988,0.5726124940162757,0.45937051220679753,0.8740083374581651,0.8412112259970458,0.0468561970110485,337.95654082528534
BA,508.5063651379177,181630,562.8000000000001,481.89781703699964,14873064,0.714,0.34317071452123116,16.6,913,0.976,0.57,0.5,0.75,5.1,3.7,3.0,0.8111,0.5257,0.4732,0.3079061828993008,0.5251995815669218,0.08325166547376535,0.0836425700600121,0.21914881902769368,0.5923635963221935,0.16457083080988824,0.023916753840224632,0.43864449705445135,0.37606672906458183,0.8350749118308851,0.8300563481596931,0.044904638500174,210.2089261211815
RR,504.8538121546962,5430,559.035,652.39159159691,605761,0.752,1.0614747400377376,18.8,1044,0.956,0.719,0.64,0.758,5.5,4.1,3.5,0.8167,0.6994,0.1158,0.21823204419889503,0.49742173112338856,0.17845303867403314,0.10589318600368323,0.13793738489871085,0.5386740331491713,0.29392265193370165,0.029465930018416207,0.4976058931860037,0.3812154696132597,0.9050359019422559,0.9422850412249706,0.04716305440363052,187.96125
PI,504.68479477416423,57254,556.86,400.9619091146954,3273227,0.697,0.3953285244194796,17.5,827,0.982,0.642,0.6,0.806,5.3,4.5,3.6,0.7715,0.1683,0.1656,0.3669263282914731,0.4596185419359346,0.08324309218569882,0.09021203758689349,0.25673315401543995,0.5485730254654697,0.1668529709714605,0.02784084954762986,0.3586299647186223,0.30530617948090966,0.8743717245908671,0.8963893249607535,0.05066077819029876,195.85489116837627
AL,503.9746021199869,45755,555.4,462.7269536635827,3337357,0.683,0.35746849977392287,14.4,731,0.976,0.572,0.47,0.725,5.2,4.2,3.5,0.7541,0.1714,0.1562,0.3654901103704513,0.4594251994317561,0.08899573817069173,0.08608895202710086,0.30084143809419733,0.5161840236039777,0.15639820784613703,0.026576330455687903,0.4024478199103923,0.33963501256693257,0.8260822344514911,0.8013400335008375,0.04026454042225255,298.90259197324417
RO,500.9817446808511,19740,549.9250000000001,606.8126615614517,1777225,0.725,0.7888702893555966,12.5,1136,0.983,0.674,0.58,0.943,5.8,4.9,4.0,0.4693,0.1141,0.0951,0.31013171225937186,0.4900709219858156,0.11251266464032421,0.08728470111448834,0.22254305977710234,0.5376899696048633,0.2146403242147923,0.025126646403242147,0.49457953394123605,0.42289766970618037,0.8954787464080805,0.8726833199033038,0.037456872939751855,344.1449676823638
TO,500.3655167278864,20146,552.7,593.5987239582395,1572866,0.743,0.7959991505951556,14.0,1056,0.977,0.698,0.62,0.847,5.6,4.6,3.8,0.7934,0.3172,0.3131,0.27365233793308846,0.5049141268738211,0.12871041397796087,0.09272312121512956,0.15918792812468976,0.5437307654124889,0.27186538270624444,0.025215923756576986,0.4389953340613521,0.3608160428869254,0.8894452394305273,0.8917910447761194,0.04851231418073541,246.63249651324966
PA,497.78453158753257,136098,545.8199999999999,395.09669057898543,8602865,0.698,0.43473889221788325,16.3,807,0.972,0.576,0.47,0.841,4.7,3.8,3.1,0.4341,0.1964,0.1351,0.3075577892401064,0.5078032006348366,0.07906067686520007,0.10557833325985687,0.22289820570471278,0.6070111243368749,0.14089847021998853,0.029192199738423782,0.3027083425178915,0.2585710296991873,0.8974120811968569,0.9092683833782653,0.036672571216366294,210.50107350986607
MA,492.79414978241067,98810,540.8000000000001,378.5592199780361,7075181,0.687,0.375962113195408,16.3,636,0.974,0.661,0.58,0.64,4.8,3.9,3.5,0.5539,0.3199,0.1415,0.2949195425564214,0.5342374253618055,0.07851432041291367,0.09232871166885943,0.2004149377593361,0.6196538811861148,0.15497419289545591,0.02495698815909321,0.29866410282360084,0.2571703268899909,0.8809745078636989,0.9091760299625468,0.050386451939381384,164.45866491901506
AM,492.0902065970699,45596,534.92,420.0750726938397,4144597,0.733,0.8058684595872652,17.9,842,0.976,0.659,0.57,0.811,5.4,4.5,3.5,0.8758,0.3118,0.3103,0.225129397315554,0.5375910167558557,0.11869462233529257,0.11858496359329766,0.17073866128607773,0.618277919115712,0.17744977629616632,0.03353364330204404,0.3742872181770331,0.3127028686726906,0.9245659718498372,0.9422715306506205,0.03887227753778308,215.0496906805029
AC,491.0270809076868,16834,536.895,450.3048946100791,881935,0.719,1.5137169972843803,16.0,890,0.973,0.663,0.56,0.772,5.8,4.7,3.8,0.4802,0.1946,0.1946,0.35202566235000593,0.4309730307710586,0.12064868718070572,0.09635261969822978,0.271058571937745,0.4939408340263752,0.20731852203873113,0.027682071997148627,0.33182844243792325,0.2856124509920399,0.9528105429848862,0.9731800766283525,0.04282426216868927,165.4245406824147
AP,488.02436586195176,17646,532.3199999999999,424.7822074031528,845731,0.74,1.3526759690729084,22.9,880,0.969,0.684,0.68,0.846,4.6,3.8,3.2,0.344,0.1793,0.0821,0.30771846310778644,0.4658846197438513,0.1155502663493143,0.11084665079904794,0.23370735577467983,0.5414824889493369,0.19573841097132494,0.029071744304658278,0.3258528845064037,0.26770939589708714,0.9032546568059963,0.9048751486325802,0.049012797987914775,261.44415243101184
